id,category,name,address,expected_zipcode,expected_status,expected_reason,actual_zipcode,actual_status,actual_reason,actual_normalized,actual_source,match_zip,match_status,verified,notes,seed_mode
G012,exact,案例G012,臺北市萬華區西園路一段136號,108016,exact,中華郵政查詢成功,108016,exact,中華郵政查詢成功,臺北市萬華區西園路一段136號,post_ws,Y,Y,pending,西門町周邊,post_ws
G013,exact,案例G013,臺北市文山區木柵路三段220號,116008,exact,中華郵政查詢成功,116008,exact,中華郵政查詢成功,臺北市文山區木柵路三段220號,post_ws,Y,Y,pending,文山木柵,post_ws
G014,exact,案例G014,臺北市南港區經貿二路1號,115018,exact,中華郵政查詢成功,115018,exact,中華郵政查詢成功,臺北市南港區經貿二路1號,post_ws,Y,Y,pending,南港展覽館周邊,post_ws
G015,exact,案例G015,臺北市內湖區成功路四段188號,114049,exact,中華郵政查詢成功,114049,exact,中華郵政查詢成功,臺北市內湖區成功路四段188號,post_ws,Y,Y,pending,內湖成功路,post_ws
G016,exact,案例G016,臺北市士林區中正路455號,111000,district,查無對應路段,111000,district,查無對應路段,臺北市士林區中正路455號,district,Y,Y,pending,士林,post_ws
G017,exact,案例G017,臺北市北投區中央北路一段168號,112023,exact,中華郵政查詢成功,112023,exact,中華郵政查詢成功,臺北市北投區中央北路一段168號,post_ws,Y,Y,pending,北投,post_ws
G018,exact,案例G018,臺北市大同區承德路三段230號,103632,exact,中華郵政查詢成功,103632,exact,中華郵政查詢成功,臺北市大同區承德路三段230號,post_ws,Y,Y,pending,大同承德路,post_ws
G019,exact,案例G019,新北市板橋區文化路一段188號,220002,exact,中華郵政查詢成功,220002,exact,中華郵政查詢成功,新北市板橋區文化路一段188號,cache,Y,Y,pending,板橋文化路,post_ws
G020,exact,案例G020,新北市板橋區縣民大道二段7號,220227,exact,中華郵政查詢成功,220227,exact,中華郵政查詢成功,新北市板橋區縣民大道二段7號,post_ws,Y,Y,pending,板橋車站周邊,post_ws
G021,exact,案例G021,新北市中和區景平路488號,235086,exact,中華郵政查詢成功,235086,exact,中華郵政查詢成功,新北市中和區景平路488號,post_ws,Y,Y,pending,中和,post_ws
G022,exact,案例G022,新北市永和區中正路100號,234043,exact,中華郵政查詢成功,234043,exact,中華郵政查詢成功,新北市永和區中正路100號,post_ws,Y,Y,pending,永和,post_ws
G023,exact,案例G023,新北市新莊區中正路100號,242008,exact,中華郵政查詢成功,242008,exact,中華郵政查詢成功,新北市新莊區中正路100號,post_ws,Y,Y,pending,新莊,post_ws
G024,exact,案例G024,新北市三重區重新路四段50號,241013,exact,中華郵政查詢成功,241013,exact,中華郵政查詢成功,新北市三重區重新路四段50號,cache,Y,Y,pending,三重,post_ws
G025,exact,案例G025,新北市新店區北新路三段90號,231007,exact,中華郵政查詢成功,231007,exact,中華郵政查詢成功,新北市新店區北新路三段90號,post_ws,Y,Y,pending,新店,post_ws
G026,exact,案例G026,新北市汐止區大同路一段200號,221006,exact,中華郵政查詢成功,221006,exact,中華郵政查詢成功,新北市汐止區大同路一段200號,post_ws,Y,Y,pending,汐止,post_ws
G027,exact,案例G027,新北市淡水區中正東路一段10號,251007,exact,中華郵政查詢成功,251007,exact,中華郵政查詢成功,新北市淡水區中正東路一段10號,post_ws,Y,Y,pending,淡水,post_ws
G028,exact,案例G028,新北市林口區文化一路100號,244000,district,查無對應路段,244000,district,查無對應路段,新北市林口區文化一路100號,district,Y,Y,pending,林口,post_ws
G029,exact,案例G029,新北市蘆洲區三民路100號,247010,exact,中華郵政查詢成功,247010,exact,中華郵政查詢成功,新北市蘆洲區三民路100號,post_ws,Y,Y,pending,蘆洲,post_ws
G030,exact,案例G030,新北市土城區中央路二段100號,236030,exact,中華郵政查詢成功,236030,exact,中華郵政查詢成功,新北市土城區中央路二段100號,post_ws,Y,Y,pending,土城,post_ws
G031,exact,案例G031,桃園市桃園區中正路100號,330002,exact,中華郵政查詢成功,330002,exact,中華郵政查詢成功,桃園市桃園區中正路100號,cache,Y,Y,pending,桃園中正路,post_ws
G032,exact,案例G032,桃園市中壢區中正路100號,320001,exact,中華郵政查詢成功,320001,exact,中華郵政查詢成功,桃園市中壢區中正路100號,post_ws,Y,Y,pending,中壢,post_ws
G033,exact,案例G033,桃園市平鎮區環南路100號,324008,exact,中華郵政查詢成功,324008,exact,中華郵政查詢成功,桃園市平鎮區環南路100號,post_ws,Y,Y,pending,平鎮,post_ws
G034,exact,案例G034,桃園市蘆竹區南崁路100號,338018,exact,中華郵政查詢成功,338018,exact,中華郵政查詢成功,桃園市蘆竹區南崁路100號,post_ws,Y,Y,pending,蘆竹南崁,post_ws
G035,exact,案例G035,桃園市龜山區復興一路100號,333005,exact,中華郵政查詢成功,333005,exact,中華郵政查詢成功,桃園市龜山區復興一路100號,post_ws,Y,Y,pending,龜山,post_ws
G036,exact,案例G036,桃園市八德區介壽路100號,334000,district,查無對應路段,334000,district,查無對應路段,桃園市八德區介壽路100號,district,Y,Y,pending,八德,post_ws
G037,exact,案例G037,桃園市楊梅區中山北路一段100號,326021,exact,中華郵政查詢成功,326021,exact,中華郵政查詢成功,桃園市楊梅區中山北路一段100號,post_ws,Y,Y,pending,楊梅,post_ws
G038,exact,案例G038,桃園市大園區中正東路100號,337015,exact,中華郵政查詢成功,337015,exact,中華郵政查詢成功,桃園市大園區中正東路100號,post_ws,Y,Y,pending,大園,post_ws
G039,exact,案例G039,臺中市西屯區臺灣大道三段99號,407610,exact,中華郵政查詢成功,407610,exact,中華郵政查詢成功,臺中市西屯區臺灣大道三段99號,cache,Y,Y,pending,台中臺灣大道,post_ws
G040,exact,案例G040,臺中市西屯區文心路三段100號,407054,exact,中華郵政查詢成功,407054,exact,中華郵政查詢成功,臺中市西屯區文心路三段100號,post_ws,Y,Y,pending,西屯文心,post_ws
G041,exact,案例G041,臺中市北屯區崇德路二段200號,406028,exact,中華郵政查詢成功,406028,exact,中華郵政查詢成功,臺中市北屯區崇德路二段200號,cache,Y,Y,pending,北屯崇德,post_ws
G042,exact,案例G042,臺中市北區一中街100號,404334,exact,中華郵政查詢成功,404334,exact,中華郵政查詢成功,臺中市北區一中街100號,post_ws,Y,Y,pending,一中商圈,post_ws
G043,exact,案例G043,臺中市中區中山路100號,400002,exact,中華郵政查詢成功,400002,exact,中華郵政查詢成功,臺中市中區中山路100號,post_ws,Y,Y,pending,台中中區,post_ws
G044,exact,案例G044,臺中市南屯區五權西路二段100號,408381,exact,中華郵政查詢成功,408381,exact,中華郵政查詢成功,臺中市南屯區五權西路二段100號,post_ws,Y,Y,pending,南屯,post_ws
G045,exact,案例G045,臺中市東區復興路四段100號,401008,exact,中華郵政查詢成功,401008,exact,中華郵政查詢成功,臺中市東區復興路四段100號,post_ws,Y,Y,pending,台中東區,post_ws
G046,exact,案例G046,臺中市南區復興路一段100號,402021,exact,中華郵政查詢成功,402021,exact,中華郵政查詢成功,臺中市南區復興路一段100號,post_ws,Y,Y,pending,台中南區,post_ws
G047,exact,案例G047,臺中市西區公益路100號,403024,exact,中華郵政查詢成功,403024,exact,中華郵政查詢成功,臺中市西區公益路100號,post_ws,Y,Y,pending,西區公益路,post_ws
G048,exact,案例G048,臺中市豐原區中正路100號,420020,exact,中華郵政查詢成功,420020,exact,中華郵政查詢成功,臺中市豐原區中正路100號,post_ws,Y,Y,pending,豐原,post_ws
G049,exact,案例G049,臺中市大里區中興路二段100號,412041,exact,中華郵政查詢成功,412041,exact,中華郵政查詢成功,臺中市大里區中興路二段100號,post_ws,Y,Y,pending,大里,post_ws
G050,exact,案例G050,臺中市太平區中山路一段100號,411011,exact,中華郵政查詢成功,411011,exact,中華郵政查詢成功,臺中市太平區中山路一段100號,post_ws,Y,Y,pending,太平,post_ws
G051,exact,案例G051,臺南市東區大學路1號,701401,exact,中華郵政查詢成功,701401,exact,中華郵政查詢成功,臺南市東區大學路1號,cache,Y,Y,pending,成大周邊,post_ws
G052,exact,案例G052,臺南市中西區中正路100號,700015,exact,中華郵政查詢成功,700015,exact,中華郵政查詢成功,臺南市中西區中正路100號,post_ws,Y,Y,pending,台南中西區,post_ws
G053,exact,案例G053,臺南市北區西門路三段100號,704004,exact,中華郵政查詢成功,704004,exact,中華郵政查詢成功,臺南市北區西門路三段100號,post_ws,Y,Y,pending,台南北區,post_ws
G054,exact,案例G054,臺南市安平區安平路100號,708009,exact,中華郵政查詢成功,708009,exact,中華郵政查詢成功,臺南市安平區安平路100號,post_ws,Y,Y,pending,安平,post_ws
G055,exact,案例G055,臺南市永康區中華路100號,710029,exact,中華郵政查詢成功,710029,exact,中華郵政查詢成功,臺南市永康區中華路100號,post_ws,Y,Y,pending,永康,post_ws
G056,exact,案例G056,臺南市新營區中正路100號,730020,exact,中華郵政查詢成功,730020,exact,中華郵政查詢成功,臺南市新營區中正路100號,post_ws,Y,Y,pending,新營,post_ws
G057,exact,案例G057,臺南市仁德區中山路100號,717002,exact,中華郵政查詢成功,717002,exact,中華郵政查詢成功,臺南市仁德區中山路100號,post_ws,Y,Y,pending,仁德,post_ws
G058,exact,案例G058,高雄市苓雅區四維三路2號,802721,exact,中華郵政查詢成功,802721,exact,中華郵政查詢成功,高雄市苓雅區四維三路2號,cache,Y,Y,pending,高雄市政府周邊,post_ws
G059,exact,案例G059,高雄市前金區中正四路100號,801006,exact,中華郵政查詢成功,801006,exact,中華郵政查詢成功,高雄市前金區中正四路100號,post_ws,Y,Y,pending,前金,post_ws
G060,exact,案例G060,高雄市左營區博愛二路777號,813603,exact,中華郵政查詢成功,813603,exact,中華郵政查詢成功,高雄市左營區博愛二路777號,cache,Y,Y,pending,左營博愛,post_ws
G061,exact,案例G061,高雄市鼓山區臨海二路100號,804002,exact,中華郵政查詢成功,804002,exact,中華郵政查詢成功,高雄市鼓山區臨海二路100號,post_ws,Y,Y,pending,鼓山,post_ws
G062,exact,案例G062,高雄市三民區建國三路100號,807003,exact,中華郵政查詢成功,807003,exact,中華郵政查詢成功,高雄市三民區建國三路100號,post_ws,Y,Y,pending,三民,post_ws
G063,exact,案例G063,高雄市新興區中山一路100號,800052,exact,中華郵政查詢成功,800052,exact,中華郵政查詢成功,高雄市新興區中山一路100號,post_ws,Y,Y,pending,新興,post_ws
G064,exact,案例G064,高雄市前鎮區中山二路100號,806023,exact,中華郵政查詢成功,806023,exact,中華郵政查詢成功,高雄市前鎮區中山二路100號,post_ws,Y,Y,pending,前鎮,post_ws
G065,exact,案例G065,高雄市鳳山區光復路一段100號,830346,exact,中華郵政查詢成功,830346,exact,中華郵政查詢成功,高雄市鳳山區光復路一段100號,post_ws,Y,Y,pending,鳳山,post_ws
G066,exact,案例G066,高雄市楠梓區高楠公路100號,811000,district,查無對應路段,811000,district,查無對應路段,高雄市楠梓區高楠公路100號,district,Y,Y,pending,楠梓,post_ws
G067,exact,案例G067,高雄市小港區中山路100號,812000,district,查無對應路段,812000,district,查無對應路段,高雄市小港區中山路100號,district,Y,Y,pending,小港,post_ws
G068,exact,案例G068,基隆市中正區中正路100號,202003,exact,中華郵政查詢成功,202003,exact,中華郵政查詢成功,基隆市中正區中正路100號,cache,Y,Y,pending,基隆中正,post_ws
G069,exact,案例G069,基隆市仁愛區仁一路100號,200000,district,查無對應路段,200000,district,查無對應路段,基隆市仁愛區仁一路100號,district,Y,Y,pending,基隆仁愛,post_ws
G070,exact,案例G070,新竹市東區光復路二段101號,300044,exact,中華郵政查詢成功,300044,exact,中華郵政查詢成功,新竹市東區光復路二段101號,cache,Y,Y,pending,清大／光復路,post_ws
G071,exact,案例G071,新竹市東區中華路二段100號,300002,exact,中華郵政查詢成功,300002,exact,中華郵政查詢成功,新竹市東區中華路二段100號,post_ws,Y,Y,pending,新竹中華路,post_ws
G072,exact,案例G072,新竹市北區中正路100號,300000,district,查無對應路段,300000,district,查無對應路段,新竹市北區中正路100號,district,Y,Y,pending,新竹北區,post_ws
G073,exact,案例G073,新竹縣竹北市光明六路100號,302042,exact,使用本地Fallback成功,302042,exact,使用本地Fallback成功,新竹縣竹北市光明六路100號,local,Y,Y,pending,竹北,post_ws
G074,exact,案例G074,新竹縣竹東鎮長春路三段100號,310008,exact,中華郵政查詢成功,310008,exact,中華郵政查詢成功,新竹縣竹東鎮長春路三段100號,post_ws,Y,Y,pending,竹東,post_ws
G075,exact,案例G075,苗栗縣苗栗市中正路100號,360003,exact,中華郵政查詢成功,360003,exact,中華郵政查詢成功,苗栗縣苗栗市中正路100號,post_ws,Y,Y,pending,苗栗,post_ws
G076,exact,案例G076,苗栗縣竹南鎮中正路100號,350007,exact,中華郵政查詢成功,350007,exact,中華郵政查詢成功,苗栗縣竹南鎮中正路100號,post_ws,Y,Y,pending,竹南,post_ws
G077,exact,案例G077,苗栗縣頭份市中正路100號,351027,exact,中華郵政查詢成功,351027,exact,中華郵政查詢成功,苗栗縣頭份市中正路100號,post_ws,Y,Y,pending,頭份,post_ws
G078,exact,案例G078,彰化縣彰化市中山路一段1號,500032,exact,中華郵政查詢成功,500032,exact,中華郵政查詢成功,彰化縣彰化市中山路一段1號,cache,Y,Y,pending,彰化,post_ws
G079,exact,案例G079,彰化縣員林市中山路一段100號,510037,exact,中華郵政查詢成功,510037,exact,中華郵政查詢成功,彰化縣員林市中山路一段100號,post_ws,Y,Y,pending,員林,post_ws
G080,exact,案例G080,彰化縣鹿港鎮中山路100號,505024,exact,中華郵政查詢成功,505024,exact,中華郵政查詢成功,彰化縣鹿港鎮中山路100號,post_ws,Y,Y,pending,鹿港,post_ws
G081,exact,案例G081,南投縣南投市中興路100號,540003,exact,中華郵政查詢成功,540003,exact,中華郵政查詢成功,南投縣南投市中興路100號,post_ws,Y,Y,pending,南投,post_ws
G082,exact,案例G082,南投縣埔里鎮中山路一段100號,545017,exact,中華郵政查詢成功,545017,exact,中華郵政查詢成功,南投縣埔里鎮中山路一段100號,post_ws,Y,Y,pending,埔里,post_ws
G083,exact,案例G083,雲林縣斗六市中山路100號,640005,exact,中華郵政查詢成功,640005,exact,中華郵政查詢成功,雲林縣斗六市中山路100號,post_ws,Y,Y,pending,斗六,post_ws
G084,exact,案例G084,雲林縣虎尾鎮林森路一段100號,632106,exact,中華郵政查詢成功,632106,exact,中華郵政查詢成功,雲林縣虎尾鎮林森路一段100號,post_ws,Y,Y,pending,虎尾,post_ws
G085,exact,案例G085,嘉義市西區中山路100號,600000,district,查無對應路段,600000,district,查無對應路段,嘉義市西區中山路100號,district,Y,Y,pending,嘉義西區,post_ws
G086,exact,案例G086,嘉義市東區中山路100號,600014,exact,中華郵政查詢成功,600014,exact,中華郵政查詢成功,嘉義市東區中山路100號,post_ws,Y,Y,pending,嘉義東區,post_ws
G087,exact,案例G087,嘉義縣太保市中正路100號,612003,exact,中華郵政查詢成功,612003,exact,中華郵政查詢成功,嘉義縣太保市中正路100號,post_ws,Y,Y,pending,太保,post_ws
G088,exact,案例G088,嘉義縣朴子市山通路100號,613003,exact,中華郵政查詢成功,613003,exact,中華郵政查詢成功,嘉義縣朴子市山通路100號,post_ws,Y,Y,pending,朴子,post_ws
G089,exact,案例G089,屏東縣屏東市中正路100號,900013,exact,中華郵政查詢成功,900013,exact,中華郵政查詢成功,屏東縣屏東市中正路100號,post_ws,Y,Y,pending,屏東,post_ws
G090,exact,案例G090,屏東縣潮州鎮中山路100號,920004,exact,中華郵政查詢成功,920004,exact,中華郵政查詢成功,屏東縣潮州鎮中山路100號,post_ws,Y,Y,pending,潮州,post_ws
G091,exact,案例G091,宜蘭縣宜蘭市中山路二段100號,260006,exact,中華郵政查詢成功,260006,exact,中華郵政查詢成功,宜蘭縣宜蘭市中山路二段100號,post_ws,Y,Y,pending,宜蘭,post_ws
G092,exact,案例G092,宜蘭縣羅東鎮中正路100號,265007,exact,中華郵政查詢成功,265007,exact,中華郵政查詢成功,宜蘭縣羅東鎮中正路100號,post_ws,Y,Y,pending,羅東,post_ws
G093,exact,案例G093,花蓮縣花蓮市中山路17號,970008,exact,中華郵政查詢成功,970008,exact,中華郵政查詢成功,花蓮縣花蓮市中山路17號,cache,Y,Y,pending,花蓮,post_ws
G094,exact,案例G094,花蓮縣吉安鄉中山路一段100號,973060,exact,中華郵政查詢成功,973060,exact,中華郵政查詢成功,花蓮縣吉安鄉中山路一段100號,post_ws,Y,Y,pending,吉安,post_ws
G095,exact,案例G095,臺東縣臺東市中山路100號,950003,exact,中華郵政查詢成功,950003,exact,中華郵政查詢成功,臺東縣臺東市中山路100號,post_ws,Y,Y,pending,臺東,post_ws
G096,exact,案例G096,澎湖縣馬公市中正路100號,880001,exact,中華郵政查詢成功,880001,exact,中華郵政查詢成功,澎湖縣馬公市中正路100號,post_ws,Y,Y,pending,馬公,post_ws
G097,exact,案例G097,金門縣金城鎮民權路100號,893013,exact,中華郵政查詢成功,893013,exact,中華郵政查詢成功,金門縣金城鎮民權路100號,post_ws,Y,Y,pending,金城,post_ws
G098,exact,案例G098,連江縣南竿鄉介壽村100號,209001,exact,中華郵政查詢成功,209001,exact,中華郵政查詢成功,連江縣南竿鄉介壽村100號,post_ws,Y,Y,pending,南竿,post_ws
G099,exact,案例G099,臺北市大安區仁愛路四段27號,106073,exact,中華郵政查詢成功,106073,exact,中華郵政查詢成功,臺北市大安區仁愛路四段27號,post_ws,Y,Y,pending,仁愛路四段,post_ws
G100,exact,案例G100,臺北市信義區基隆路一段200號,110406,exact,中華郵政查詢成功,110406,exact,中華郵政查詢成功,臺北市信義區基隆路一段200號,post_ws,Y,Y,pending,基隆路一段,post_ws
G101,exact,案例G101,臺北市中正區羅斯福路一段1號,100031,exact,中華郵政查詢成功,100031,exact,中華郵政查詢成功,臺北市中正區羅斯福路一段1號,post_ws,Y,Y,pending,羅斯福路一段,post_ws
G102,exact,案例G102,新北市板橋區民生路一段100號,220077,exact,中華郵政查詢成功,220077,exact,中華郵政查詢成功,新北市板橋區民生路一段100號,post_ws,Y,Y,pending,板橋民生,post_ws
G103,exact,案例G103,新北市新莊區新泰路100號,242612,exact,中華郵政查詢成功,242612,exact,中華郵政查詢成功,新北市新莊區新泰路100號,post_ws,Y,Y,pending,新莊新泰,post_ws
G104,exact,案例G104,桃園市中壢區元化路100號,320003,exact,中華郵政查詢成功,320003,exact,中華郵政查詢成功,桃園市中壢區元化路100號,post_ws,Y,Y,pending,中壢元化,post_ws
G105,exact,案例G105,臺中市西屯區河南路二段100號,407046,exact,中華郵政查詢成功,407046,exact,中華郵政查詢成功,臺中市西屯區河南路二段100號,post_ws,Y,Y,pending,河南路二段,post_ws
G106,exact,案例G106,臺中市北屯區進化路100號,406000,district,查無對應路段,406000,district,查無對應路段,臺中市北屯區進化路100號,district,Y,Y,pending,北屯進化,post_ws
G107,exact,案例G107,臺南市東區崇學路100號,701016,exact,中華郵政查詢成功,701016,exact,中華郵政查詢成功,臺南市東區崇學路100號,post_ws,Y,Y,pending,東區崇學,post_ws
G108,exact,案例G108,高雄市苓雅區光華一路100號,802040,exact,中華郵政查詢成功,802040,exact,中華郵政查詢成功,高雄市苓雅區光華一路100號,post_ws,Y,Y,pending,苓雅光華,post_ws
G109,exact,案例G109,高雄市左營區自由二路100號,813019,exact,中華郵政查詢成功,813019,exact,中華郵政查詢成功,高雄市左營區自由二路100號,post_ws,Y,Y,pending,左營自由,post_ws
G110,exact,案例G110,新竹市東區中央路100號,300027,exact,中華郵政查詢成功,300027,exact,中華郵政查詢成功,新竹市東區中央路100號,post_ws,Y,Y,pending,新竹中央路,post_ws
G111,exact,案例G111,基隆市中山區中山一路100號,203001,exact,中華郵政查詢成功,203001,exact,中華郵政查詢成功,基隆市中山區中山一路100號,post_ws,Y,Y,pending,基隆中山,post_ws
G112,exact,案例G112,嘉義市西區民生北路100號,600003,exact,中華郵政查詢成功,600003,exact,中華郵政查詢成功,嘉義市西區民生北路100號,post_ws,Y,Y,pending,嘉義民生北,post_ws
G113,exact,案例G113,彰化縣和美鎮道周路100號,508005,exact,中華郵政查詢成功,508005,exact,中華郵政查詢成功,彰化縣和美鎮道周路100號,post_ws,Y,Y,pending,和美,post_ws
G114,exact,案例G114,雲林縣北港鎮中山路100號,651003,exact,中華郵政查詢成功,651003,exact,中華郵政查詢成功,雲林縣北港鎮中山路100號,post_ws,Y,Y,pending,北港,post_ws
G115,exact,案例G115,屏東縣東港鎮光復路一段100號,928007,exact,中華郵政查詢成功,928007,exact,中華郵政查詢成功,屏東縣東港鎮光復路一段100號,post_ws,Y,Y,pending,東港,post_ws
G116,exact,案例G116,宜蘭縣礁溪鄉中山路一段100號,262002,exact,中華郵政查詢成功,262002,exact,中華郵政查詢成功,宜蘭縣礁溪鄉中山路一段100號,post_ws,Y,Y,pending,礁溪,post_ws
G117,exact,案例G117,花蓮縣壽豐鄉大學路二段100號,974003,exact,中華郵政查詢成功,974003,exact,中華郵政查詢成功,花蓮縣壽豐鄉大學路二段100號,post_ws,Y,Y,pending,壽豐東華周邊,post_ws
G118,exact,案例G118,臺東縣成功鎮中山路100號,961005,exact,中華郵政查詢成功,961005,exact,中華郵政查詢成功,臺東縣成功鎮中山路100號,post_ws,Y,Y,pending,成功,post_ws
G119,exact,案例G119,苗栗縣通霄鎮中山路100號,357000,district,查無對應路段,357000,district,查無對應路段,苗栗縣通霄鎮中山路100號,district,Y,Y,pending,通霄中山路,post_ws
G120,exact,案例G120,臺中市北區大雅路100號,404000,district,查無對應路段,404000,district,查無對應路段,臺中市北區大雅路100號,district,Y,Y,pending,北區大雅路,post_ws
G121,normalize,案例G121,台北市大安區愛國東路216號,106201,exact,中華郵政查詢成功,106201,exact,中華郵政查詢成功,臺北市大安區愛國東路216號,cache,Y,Y,pending,正規化：台→臺,post_ws
G122,normalize,案例G122,台北市信義區信義路五段7號,110615,exact,中華郵政查詢成功,110615,exact,中華郵政查詢成功,臺北市信義區信義路五段7號,cache,Y,Y,pending,正規化：台→臺,post_ws
G123,normalize,案例G123,台中市西屯區台灣大道三段99號,407610,exact,中華郵政查詢成功,407610,exact,中華郵政查詢成功,臺中市西屯區臺灣大道三段99號,cache,Y,Y,pending,正規化：台中／台灣大道正規化,post_ws
G124,normalize,案例G124,台南市東區大學路1號,701401,exact,中華郵政查詢成功,701401,exact,中華郵政查詢成功,臺南市東區大學路1號,cache,Y,Y,pending,正規化：台→臺,post_ws
G125,normalize,案例G125,鳳山市光復路一段100號,830346,exact,中華郵政查詢成功,830346,exact,中華郵政查詢成功,高雄市鳳山區光復路一段100號,cache,Y,Y,pending,正規化：舊鄉鎮市→高雄市鳳山區,post_ws
G126,normalize,案例G126,板橋市文化路一段188號,220002,exact,中華郵政查詢成功,220002,exact,中華郵政查詢成功,新北市板橋區文化路一段188號,cache,Y,Y,pending,正規化：舊板橋市→新北市板橋區,post_ws
G127,normalize,案例G127,中壢市中正路100號,320001,exact,中華郵政查詢成功,320001,exact,中華郵政查詢成功,桃園市中壢區中正路100號,cache,Y,Y,pending,正規化：舊中壢市→桃園市中壢區,post_ws
G128,normalize,案例G128,豐原市中正路100號,420020,exact,中華郵政查詢成功,420020,exact,中華郵政查詢成功,臺中市豐原區中正路100號,cache,Y,Y,pending,正規化：舊豐原市→臺中市豐原區,post_ws
G129,normalize,案例G129,永康市中華路100號,710029,exact,中華郵政查詢成功,710029,exact,中華郵政查詢成功,臺南市永康區中華路100號,cache,Y,Y,pending,正規化：舊永康市→臺南市永康區,post_ws
G130,normalize,案例G130,三重市重新路四段50號,241013,exact,中華郵政查詢成功,241013,exact,中華郵政查詢成功,新北市三重區重新路四段50號,cache,Y,Y,pending,正規化：舊三重市→新北市三重區,post_ws
G131,normalize,案例G131,臺北市大安區愛國東路２１６號,106201,exact,中華郵政查詢成功,106201,exact,中華郵政查詢成功,臺北市大安區愛國東路216號,cache,Y,Y,pending,正規化：全形數字,post_ws
G132,normalize,案例G132,臺北市大安區愛國東路二一六號,106201,exact,中華郵政查詢成功,106201,exact,中華郵政查詢成功,臺北市大安區愛國東路216號,cache,Y,Y,pending,正規化：國字門牌,post_ws
G133,normalize,案例G133,臺北市大安區愛國東路216-1號,106201,exact,中華郵政查詢成功,106201,exact,中華郵政查詢成功,臺北市大安區愛國東路216號,cache,Y,Y,pending,正規化：門牌之號格式,post_ws
G134,normalize,案例G134,臺北市大安區敦化南路一段245號12F,106057,exact,中華郵政查詢成功,106057,exact,中華郵政查詢成功,臺北市大安區敦化南路一段245號,cache,Y,Y,pending,正規化：樓層 F→樓,post_ws
G135,normalize,案例G135,北市大安區愛國東路216號,106201,exact,中華郵政查詢成功,106201,exact,中華郵政查詢成功,臺北市大安區愛國東路216號,cache,Y,Y,pending,正規化：縣市簡稱北市,post_ws
G136,normalize,案例G136,高市苓雅區四維三路2號,802721,exact,中華郵政查詢成功,802721,exact,中華郵政查詢成功,高雄市苓雅區四維三路2號,cache,Y,Y,pending,正規化：縣市簡稱高市,post_ws
G137,normalize,案例G137,中市西屯區臺灣大道三段99號,407610,exact,中華郵政查詢成功,407610,exact,中華郵政查詢成功,臺中市西屯區臺灣大道三段99號,cache,Y,Y,pending,正規化：縣市簡稱中市,post_ws
G138,normalize,案例G138,桃園縣中壢市中正路100號,320001,exact,中華郵政查詢成功,320001,exact,中華郵政查詢成功,桃園市中壢區中正路100號,cache,Y,Y,pending,正規化：舊縣名＋鄉鎮市,post_ws
